Country Name,Country Code,Series Name,Series Code,2025 [YR2025],2024 [YR2024],2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975],1974 [YR1974],1973 [YR1973],1972 [YR1972],1971 [YR1971],1970 [YR1970],1969 [YR1969],1968 [YR1968],1967 [YR1967],1966 [YR1966],1965 [YR1965],1964 [YR1964],1963 [YR1963],1962 [YR1962],1961 [YR1961],1960 [YR1960]
Africa Western and Central,AFW,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,..,111.9837,107.9158,111.5267,106.3334,95.1009,101.8084,96.0947,88.6307,88.6815,79.7185,81.5032,76.5806,65.2114,58.879,55.2474,48.1206,46.7723,40.8885,41.5412,45.1389,45.7444,44.0797,42.1124,39.6594,34.5431,32.5246,30.1803,33.3234,28.0142,24.8279,22.1602,25.2579,27.8999,23.9985,20.4725,23.0426,22.5519,20.7546,21.1952,21.5043,21.7499,23.2643,23.0266,21.8925,20.922,18.6213,18.6609,16.1178,12.7923,10.7132,9.3004,8.8502,8.0192,7.202,7.202,..,..,..,..,..,..,..,..,..,..
Africa Western and Central,AFW,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,..,0.0124,0.0119,0.0115,0.011,0.0105,0.0101,0.0097,0.0091,0.0087,0.0084,0.008,0.0077,0.0072,0.0069,0.0065,0.0061,0.0058,0.0055,0.0052,0.0049,0.0047,0.0045,0.0043,0.0041,0.0039,0.0036,0.0035,0.0035,0.0036,0.0035,0.0033,0.0031,0.003,0.0029,0.0028,0.0027,0.0026,0.0025,0.0025,0.0022,0.0021,0.0021,0.002,0.0019,0.0018,0.0017,0.0016,0.0015,0.0014,0.0013,0.0012,0.0012,0.0012,0.0011,0.0011,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Population, total",SP.POP.TOTL,503356133,492612632,482105978,471352066,460646603,453723239,444281315,435998060,428315886,419808341,410190679,400231008,390954281,381030177,372054934,363568534,356386673,347684619,338947976,330526310,322628451,315060277,307815105,300691509,293580252,286548096,279709634,273094199,266565183,260229121,253952538,247626514,240926205,234321565,228402316,223184294,215969068,210269696,204524595,198509771,192563243,186733957,180973288,175370356,170015485,164657321,159054118,153568663,148599336,144014135,139495837,135282861,131335660,127535560,123950810,120469263,117053219,113712171,110491709,107403055,104494008,101729760,99038509,96428599,93931683,91540853
Arab World,ARB,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,..,2229.854,2171.3007,2106.1097,2050.1016,1958.0297,2012.1937,1992.7095,2005.3588,1974.3709,1950.0644,1906.5128,1838.192,1800.2001,1680.7818,1634.5623,1543.609,1490.9499,1388.4332,1334.6248,1270.6819,1186.7011,1124.046,1091.594,1055.7196,996.1375,959.2818,943.7311,931.8908,889.754,867.162,842.1368,792.8578,741.1433,695.4485,675.6148,683.4301,653.612,620.9329,593.4929,568.4211,548.7396,557.6297,537.7075,517.7126,549.8924,522.1956,486.2747,454.546,440.5812,374.0167,372.5317,380.439,329.6812,296.0924,277.7397,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,..,4.57571631886073,4.55256379383056,4.51655911861293,4.49856109572882,4.36164535072922,4.57737026452394,4.61885878026092,4.73116992781887,4.75246713161632,4.80405395156763,4.81372596274567,4.75135321426347,4.77443109767095,4.56520875403576,4.54319728443172,4.37657957919495,4.33298977663114,4.13897390481685,4.0799244861769,3.97948589176681,3.80568021763045,3.68950797028463,3.66779172215313,3.633115264201,3.51215227162771,3.46484733001756,3.49119329179087,3.53178016723461,3.45346265451008,3.44826363092495,3.43364616461073,3.32207356240006,3.19240940653626,3.07267191603313,3.05423297516922,3.16448140619841,3.10844602162739,3.03598156495555,2.98974149740972,2.95186709127037,2.93861710433309,3.08128180773286,3.06612538324322,3.04509086334107,3.33961707053402,3.2831315942414,3.1664969304317,3.05886965739874,3.05929136747584,2.68120331074826,2.75372428736557,2.89669233778549,2.58501393650524,2.38878955288796,2.30548185556676,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,..,3.9359,3.9489,4.017,3.7838,4.1322,4.6115,4.9397,4.6697,4.7872,4.2252,4.0904,3.9962,3.8541,4.2761,4.1204,4.2275,3.9923,4.2779,4.4493,4.7857,4.8275,4.1435,4.9763,4.7666,4.7746,4.3868,4.3575,4.3319,4.2793,4.3986,3.5896,3.9284,3.3408,3.3936,3.4732,3.3574,3.4636,3.4139,3.3726,2.7863,2.6918,2.4308,2.4456,2.393,2.7017,2.3978,1.8591,1.7594,1.7862,1.6176,1.5848,1.6891,1.6891,1.6891,1.6891,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),EN.GHG.CO2.BU.MT.CE.AR5,..,116.5632,114.9316,113.1782,110.3468,111.1164,115.3105,112.5381,101.2883,98.1732,95.9254,95.4269,98.5561,101.2244,96.8912,92.8722,92.8387,90.054,86.0933,81.9275,80.3523,69.9857,63.0703,63.0013,62.8923,59.4081,57.3531,57.0571,57.4751,54.3389,52.8693,51.1137,48.7377,46.6677,46.2369,44.9248,56.9027,52.5714,49.0464,45.5989,41.1221,45.3658,40.3246,36.2764,35.3333,35.6346,33.1529,29.2828,26.9007,26.0889,23.6,21.9901,20.6296,20.0462,18.5015,18.5015,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),EN.GHG.CO2.FE.MT.CE.AR5,..,266.4468,264.4774,255.2513,255.5661,245.969,244.0849,243.9002,239.7804,233.6392,231.6315,232.7333,218.3551,212.7787,183.4239,181.5393,170.8442,176.3027,168.6925,170.7983,165.3297,162.6809,161.4853,148.9784,149.8191,158.3523,150.8592,144.2681,147.8187,143.7535,140.6902,136.4927,124.9259,123.3486,137.7796,115.3719,123.4474,123.9242,118.799,121.3498,116.9571,115.3407,134.2081,147.708,160.8748,225.1983,240.3035,256.1432,257.509,266.25,219.1602,232.0564,251.4713,209.6257,187.728,170.146,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.CO2.IC.MT.CE.AR5,..,337.8913,322.5564,308.9965,294.0559,287.8784,291.044,284.0951,297.2742,307.8583,315.3601,306.5245,298.0566,290.5444,290.2846,287.4268,258.7229,255.1516,239.8546,215.47,204.0446,186.7678,185.1931,187.4286,183.8627,167.3324,169.3315,162.5974,154.7468,157.1949,148.1489,139.9622,135.4322,134.1983,126.297,120.655,113.5555,103.5353,99.7126,92.646,89.7721,84.2758,105.6872,109.4186,103.0079,93.5173,80.9519,58.3238,51.3458,45.2462,41.1406,37.7301,33.0323,29.5437,27.1076,27.1076,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),EN.GHG.CO2.IP.MT.CE.AR5,..,236.6104,232.7081,225.6391,223.4995,214.5415,212.8924,213.494,208.226,205.4501,197.3461,194.9777,187.1403,183.273,172.9347,163.907,155.133,141.7158,137.5879,128.7829,121.2617,108.3017,100.1834,100.9067,94.6905,81.5355,79.1432,73.9326,67.0541,65.8304,68.717,64.4435,60.4941,54.064,49.058,53.4726,51.9578,48.1414,47.3683,43.5612,43.3668,41.7246,37.0444,34.0284,32.4456,30.6791,28.6841,24.7282,22.0801,21.2568,19.4821,18.8109,18.1298,18.3551,17.5652,16.7945,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CO2.PI.MT.CE.AR5,..,794.1982,773.9041,755.1781,737.6365,703.3737,710.8557,697.8522,717.7669,691.1071,682.7206,654.1164,627.0332,611.5535,565.4941,552.2872,527.5896,506.9363,456.2818,456.9646,434.0974,410.4725,379.4599,360.2591,344.2416,316.259,297.9778,304.9605,309.2553,276.7811,271.3129,261.7799,241.994,209.2656,176.2378,182.8737,180.9699,175.4531,163.9369,156.2653,141.0166,132.1534,118.4772,103.8062,90.8003,82.2931,65.0174,52.4071,43.5531,36.2388,31.0634,25.8584,24.3755,22.0651,18.7844,18.7844,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,..,474.2043,458.7707,443.8459,425.209,391.0152,433.3913,435.888,436.3504,433.3532,422.853,418.6408,405.0521,396.969,367.4747,352.4067,334.2506,316.7947,295.6429,276.2303,260.8085,243.6627,230.5076,226.041,215.445,208.474,200.2284,196.5559,191.2075,187.5739,181.023,184.7537,177.3435,170.2573,156.4441,154.8428,153.2379,146.5212,138.6551,130.698,133.3989,127.186,119.4567,104.0226,92.8571,79.8679,71.6879,63.5301,51.397,43.7134,37.9517,34.4995,31.1107,28.3552,24.716,24.716,..,..,..,..,..,..,..,..,..,..
